"Iteration","Swap Count"
"1","531529"
"2","41630"
"3","9115"
"4","3577"
"5","2366"
"6","1760"
"7","1379"
"8","1127"
"9","962"
"10","719"
"11","603"
"12","498"
"13","434"
"14","382"
"15","328"
"16","270"
"17","226"
"18","208"
"19","173"
"20","149"
"21","148"
"22","130"
"23","123"
"24","87"
"25","64"
"26","46"
"27","47"
"28","38"
"29","28"
"30","22"
"31","28"
"32","24"
"33","22"
"34","16"
"35","21"
"36","20"
"37","18"
"38","19"
"39","10"
"40","8"
"41","8"
"42","3"
"43","7"
"44","5"
"45","5"
"46","5"
"47","2"
"48","5"
"49","5"
"50","5"
"51","7"
"52","5"
"53","2"
"54","1"
"55","0"
